"","Country","Countinent","Rate"
"1","United Arab Emirates","Asia",55
"2","Comoros","Africa",50
"3","Puerto Rico","North America",37.5
"4","Suriname","South America",36
"5","Democratic Republic of the Congo","Africa",35
"6","Guinea","Africa",35
"7","Equatorial Guinea","Africa",35
"8","Kiribati","Oceania",35
"9","Saint Martin (French Part)","North America",35
"10","Malta","Europa",35
"11","Sudan","Africa",35
"12","Sint Maarten (Dutch part)","North America",35
"13","Chad","Africa",35
"14","Zambia","Africa",35
"15","Brazil","South America",34
"16","Venezuela (Bolivarian Republic of)","South America",34
"17","Cameroon","Africa",33
"18","Colombia","South America",33
"19","Saint Kitts and Nevis","North America",33
"20","Seychelles","Africa",33
