"","year","iso_2","iso_3","continent","country","rate","gdp","oecd","eu27","gseven","gtwenty","brics","non_us_oecd_weighted_avg","non_us_oecd_avg"
"1","1980","US","USA","NO","United States of America","49.699",6529.17333984375,1,0,1,1,0,46.7315782616951,NA
"2","1981","US","USA","NO","United States of America","49.699",6698.57080078125,1,0,1,1,0,48.1840366541259,NA
"3","1982","US","USA","NO","United States of America","49.699",6570.568359375,1,0,1,1,0,48.7539755865582,NA
"4","1983","US","USA","NO","United States of America","49.834",6874.947265625,1,0,1,1,0,49.0838110001322,NA
"5","1984","US","USA","NO","United States of America","49.7854",7374.005859375,1,0,1,1,0,48.3135078090888,NA
"6","1985","US","USA","NO","United States of America","49.7854",7686.57080078125,1,0,1,1,0,48.0009513653099,NA
"7","1986","US","USA","NO","United States of America","49.8232",7956.49365234375,1,0,1,1,0,46.7298650866294,NA
"8","1987","US","USA","NO","United States of America","44.176",8231.9267578125,1,0,1,1,0,46.4203095155046,NA
"9","1988","US","USA","NO","United States of America","38.5936",8577.9951171875,1,0,1,1,0,44.7445926767324,NA
"10","1989","US","USA","NO","United States of America","38.6662",8893.7099609375,1,0,1,1,0,43.9462961459723,NA
"11","1990","US","USA","NO","United States of America","38.653",9064.4130859375,1,0,1,1,0,44.2254001121606,NA
"12","1991","US","USA","NO","United States of America","38.851",9057.6982421875,1,0,1,1,0,43.9895186426343,NA
"13","1992","US","USA","NO","United States of America","38.8642",9379.7353515625,1,0,1,1,0,43.4798696659424,NA
"14","1993","US","USA","NO","United States of America","39.7515",9637.2890625,1,0,1,1,0,43.0107387686155,NA
"15","1994","US","USA","NO","United States of America","39.6865",10026.408203125,1,0,1,1,0,42.276778180693,NA
"16","1995","US","USA","NO","United States of America","39.6085",10299.0244140625,1,0,1,1,0,42.9815705821185,NA
"17","1996","US","USA","NO","United States of America","39.5305",10689.962890625,1,0,1,1,0,42.9457714615037,NA
"18","1997","US","USA","NO","United States of America","39.4525",11169.625,1,0,1,1,0,42.4218270391643,34.4005112486111
"19","1998","US","USA","NO","United States of America","39.4395",11666.6630859375,1,0,1,1,0,40.5627886552753,34.0079023502778
"20","1999","US","USA","NO","United States of America","39.394",12213.2685546875,1,0,1,1,0,39.7962533893909,33.2096496963889
"21","2000","US","USA","NO","United States of America","39.34",12713.0576171875,1,0,1,1,0,38.0778964318618,32.2747222222222
"22","2001","US","USA","NO","United States of America","39.27",12837.134765625,1,0,1,1,0,35.9143038814613,31.2430555555556
"23","2002","US","USA","NO","United States of America","39.3",13066.4228515625,1,0,1,1,0,35.4973022437832,30.1566666666667
"24","2003","US","USA","NO","United States of America","39.3225",13433.16796875,1,0,1,1,0,35.096261525002,29.3418161666667
"25","2004","US","USA","NO","United States of America","39.316",13941.712890625,1,0,1,1,0,34.3007908914774,28.4491674722222
"26","2005","US","USA","NO","United States of America","39.29",14408.0927734375,1,0,1,1,0,33.6058781876569,27.4311226388889
"27","2006","US","USA","NO","United States of America","39.303",14792.302734375,1,0,1,1,0,33.1368034164558,26.8725115277778
"28","2007","US","USA","NO","United States of America","39.2705",15055.39453125,1,0,1,1,0,32.6830588854347,26.292044
"29","2008","US","USA","NO","United States of America","39.251",15011.490234375,1,0,1,1,0,30.7248377488107,25.2983146666667
"30","2009","US","USA","NO","United States of America","39.16",14594.841796875,1,0,1,1,0,30.51139013261,25.1722035555556
"31","2010","US","USA","NO","United States of America","39.2055",14992.0517578125,1,0,1,1,0,30.4660461312339,24.991648
"32","2011","US","USA","NO","United States of America","39.1925",15224.5537109375,1,0,1,1,0,30.2615355284673,24.9271063333333
"33","2012","US","USA","NO","United States of America","39.134",15567.037109375,1,0,1,1,0,30.0143147020503,24.8380160555556
"34","2013","US","USA","NO","United States of America","39.0495",15853.7939453125,1,0,1,1,0,29.5045618610624,24.7142369722222
"35","2014","US","USA","NO","United States of America","39.0755",16242.525390625,1,0,1,1,0,29.2369126725015,24.5336814166667
"36","2015","US","USA","NO","United States of America","38.9975",16710.45703125,1,0,1,1,0,28.1149933747825,24.2592369722222
"37","2016","US","USA","NO","United States of America","38.923934",16972.345703125,1,0,1,1,0,27.2421832068148,24.0035091944444
"38","2017","US","USA","NO","United States of America","38.906474",17348.623046875,1,0,1,1,0,26.9454427611244,23.7916661388889
"39","2018","US","USA","NO","United States of America","25.83858",17844.271484375,1,0,1,1,0,26.9618617782871,23.8844439166667
"40","2019","US","USA","NO","United States of America","25.886141",18290.37890625,1,0,1,1,0,26.8833681085372,23.66839
"41","2020","US","USA","NO","United States of America","25.766571",18637.896484375,1,0,1,1,0,26.57518894398,23.4423788888889
